	Biome	Diet
1460FCon	Feces	Conventional
1460LRCon	Rumen	Conventional
1462FSub	Feces	Byproduct
1462LRSub	Rumen	Byproduct
1464FSub	Feces	Byproduct
1464LRSub	Rumen	Byproduct
1468FCon	Feces	Conventional
1468LRCon	Rumen	Conventional
1476FCon	Feces	Conventional
1476LRCon	Rumen	Conventional
1479FSub	Feces	Byproduct
1479LRSub	Rumen	Byproduct
1480FCon	Feces	Conventional
1480LRCon	Rumen	Conventional
1481FCon	Feces	Conventional
1481LRCon	Rumen	Conventional
1485FSub	Feces	Byproduct
1485LRSub	Rumen	Byproduct
1493FCon	Feces	Conventional
1493LRCon	Rumen	Conventional
1494FSub	Feces	Byproduct
1494LRSub	Rumen	Byproduct
1495FSub	Feces	Byproduct
1495LRSub	Rumen	Byproduct
1496FSub	Feces	Byproduct
1496LRSub	Rumen	Byproduct
1498FSub	Feces	Byproduct
1498LRSub	Rumen	Byproduct
1500FCon	Feces	Conventional
1500LRCon	Rumen	Conventional
1501FSub	Feces	Byproduct
1501LRSub	Rumen	Byproduct
1502FCon	Feces	Conventional
1502LRCon	Rumen	Conventional
1503FSub	Feces	Byproduct
1503LRSub	Rumen	Byproduct
1504FSub	Feces	Byproduct
1504LRSub	Rumen	Byproduct
238FCon	Feces	Conventional
238LRCon	Rumen	Conventional
239FSub	Feces	Byproduct
239LRSub	Rumen	Byproduct
240FSub	Feces	Byproduct
240LRSub	Rumen	Byproduct
242FCon	Feces	Conventional
242LRCon	Rumen	Conventional
244FCon	Feces	Conventional
244LRCon	Rumen	Conventional
246FSub	Feces	Byproduct
246LRSub	Rumen	Byproduct
464FSub	Feces	Byproduct
464LRSub	Rumen	Byproduct
466FCon	Feces	Conventional
466LRCon	Rumen	Conventional
468FSub	Feces	Byproduct
468LRSub	Rumen	Byproduct
470FSub	Feces	Byproduct
470LRSub	Rumen	Byproduct
474FCon	Feces	Conventional
474LRCon	Rumen	Conventional
479FSub	Feces	Byproduct
479LRSub	Rumen	Byproduct
482FCon	Feces	Conventional
482LRCon	Rumen	Conventional
483FCon	Feces	Conventional
483LRCon	Rumen	Conventional
490FSub	Feces	Byproduct
490LRSub	Rumen	Byproduct
491FSub	Feces	Byproduct
491LRSub	Rumen	Byproduct
492FCon	Feces	Conventional
492LRCon	Rumen	Conventional
494FSub	Feces	Byproduct
494LRSub	Rumen	Byproduct
499FSub	Feces	Byproduct
499LRSub	Rumen	Byproduct
500FCon	Feces	Conventional
500LRCon	Rumen	Conventional
502FCon	Feces	Conventional
502LRCon	Rumen	Conventional
505FCon	Feces	Conventional
505LRCon	Rumen	Conventional
506FCon	Feces	Conventional
506LRCon	Rumen	Conventional
507FSub	Feces	Byproduct
507LRSub	Rumen	Byproduct
510FCon	Feces	Conventional
510LRCon	Rumen	Conventional
511FCon	Feces	Conventional
511LRCon	Rumen	Conventional
514FCon	Feces	Conventional
514LRCon	Rumen	Conventional
515FCon	Feces	Conventional
515LRCon	Rumen	Conventional
516FSub	Feces	Byproduct
516LRSub	Rumen	Byproduct
517FCon	Feces	Conventional
517LRCon	Rumen	Conventional
520FSub	Feces	Byproduct
520LRSub	Rumen	Byproduct
521FSub	Feces	Byproduct
521LRSub	Rumen	Byproduct
523FCon	Feces	Conventional
523LRCon	Rumen	Conventional
