	shannon	Diet
238	7.099979990957627	Conventional
242	7.961987017088648	Conventional
244	7.639188684425432	Conventional
464	7.72362317805789	By-product
466	7.412765647126208	Conventional
470	8.16836084717642	By-product
474	7.606674665121278	Conventional
479	7.838603315919087	By-product
482	8.300686391050645	Conventional
483	7.907936034817042	Conventional
491	7.893956570013999	By-product
492	8.253728692212125	Conventional
494	8.179618099065717	By-product
499	6.716424940222674	By-product
500	7.642959774406608	Conventional
505	7.83258133056387	Conventional
506	7.67065952256644	Conventional
511	7.632894853541949	Conventional
515	7.307132463571216	Conventional
516	8.604084684021455	By-product
517	7.241489968004977	Conventional
520	6.208815994201778	By-product
521	6.794741967084523	By-product
523	8.189244627502898	Conventional
1460	7.3631528398298975	Conventional
1462	7.718538289963272	By-product
1464	8.289293268571706	By-product
1468	7.98554925430492	Conventional
1476	7.490555405048516	Conventional
1479	5.734053051018977	By-product
1480	7.564481190919636	Conventional
1485	7.181242538681121	By-product
1493	7.7243417725571	Conventional
1494	8.0851245480999	By-product
1495	7.446786122877371	By-product
1496	8.148842959384522	By-product
1498	7.228826842826916	By-product
1500	7.236677689786847	Conventional
1503	7.854425312756698	By-product
1504	8.393036367185982	By-product
